player_id,season,target_log_market_value,season_end,previous_valuation_date,previous_market_value_in_eur,previous_log_value
92571,2024,13.122365377402328,2025-05-25,2024-12-16,700000.0,13.45883704259595
92572,2024,13.122365377402328,2025-05-25,2025-03-18,600000.0,13.304686600863562
95424,2024,15.201805169084134,2025-05-25,2025-03-25,6000000.0,15.607270193858982
95810,2024,15.201805169084134,2025-05-25,2025-03-18,5000000.0,15.424948670398354
95976,2024,12.765691290604371,2025-05-25,2024-12-16,500000.0,13.122365377402328
99331,2024,14.508658238524095,2025-05-25,2024-12-16,3000000.0,14.914123179965662
102017,2024,15.607270193858982,2025-05-25,2025-03-18,8000000.0,15.894952224644102
104124,2024,13.45883704259595,2025-05-25,2025-03-18,1000000.0,13.815511557963774
105470,2024,16.811242881518265,2025-05-25,2024-12-16,25000000.0,17.034386422832473
108354,2024,14.731801689838347,2025-05-25,2024-12-16,3500000.0,15.068273812173887
108725,2024,16.118095750958314,2025-05-25,2025-03-18,10000000.0,16.118095750958314
110864,2024,15.607270193858982,2025-05-25,2024-12-16,8000000.0,15.894952224644102
111195,2024,15.201805169084134,2025-05-25,2024-12-16,7000000.0,15.76142084987672
111819,2024,14.220976332738882,2025-05-25,2024-12-16,2000000.0,14.508658238524095
111873,2024,16.811242881518265,2025-05-25,2024-12-16,25000000.0,17.034386422832473
118534,2024,15.424948670398354,2025-05-25,2024-12-16,6000000.0,15.607270193858982
120629,2024,16.012735246411598,2025-05-25,2024-12-16,10000000.0,16.118095750958314
121477,2024,14.220976332738882,2025-05-25,2024-12-16,2000000.0,14.508658238524095
123275,2024,14.220976332738882,2025-05-25,2024-12-16,2000000.0,14.508658238524095
123551,2024,13.122365377402328,2025-05-25,2024-12-16,900000.0,13.710151153416941
123682,2024,15.894952224644102,2025-05-25,2024-12-16,11000000.0,16.213405921671733
125714,2024,16.118095750958314,2025-05-25,2024-12-16,10000000.0,16.118095750958314
126664,2024,16.118095750958314,2025-05-25,2024-12-16,12000000.0,16.300417291085605
126665,2024,14.220976332738882,2025-05-25,2024-12-16,2000000.0,14.508658238524095
127187,2024,15.76142084987672,2025-05-25,2024-12-16,8000000.0,15.894952224644102
127202,2024,15.76142084987672,2025-05-25,2024-12-16,7000000.0,15.76142084987672
128901,2024,14.603968372873895,2025-05-25,2024-12-16,3000000.0,14.914123179965662
130164,2024,16.705882371415992,2025-05-25,2024-12-16,20000000.0,16.811242881518265
131978,2024,15.607270193858982,2025-05-25,2024-12-16,8000000.0,15.894952224644102
134270,2024,15.607270193858982,2025-05-25,2024-12-16,7000000.0,15.76142084987672
134294,2024,15.607270193858982,2025-05-25,2024-12-16,7000000.0,15.76142084987672
134425,2024,16.118095750958314,2025-05-25,2025-03-18,15000000.0,16.52356082573315
135343,2024,15.76142084987672,2025-05-25,2024-12-16,9000000.0,16.012735246411598
136401,2024,14.220976332738882,2025-05-25,2024-12-16,2000000.0,14.508658238524095
139208,2024,16.951004817371683,2025-05-25,2024-12-16,28000000.0,17.147715103853763
142310,2024,14.220976332738882,2025-05-25,2024-12-16,2000000.0,14.508658238524095
144028,2024,16.906553056777135,2025-05-25,2024-12-16,30000000.0,17.216707972959764
146310,2024,15.894952224644102,2025-05-25,2025-03-18,10000000.0,16.118095750958314
146509,2024,13.592368256649284,2025-05-25,2024-12-16,1200000.0,13.997832948091215
146795,2024,14.508658238524095,2025-05-25,2024-12-16,3000000.0,14.914123179965662
148153,2024,15.607270193858982,2025-05-25,2025-03-18,8000000.0,15.894952224644102
148367,2024,16.213405921671733,2025-05-25,2025-03-18,12000000.0,16.300417291085605
148455,2024,17.72753358339242,2025-05-25,2024-12-16,55000000.0,17.822843761378564
157506,2024,14.914123179965662,2025-05-25,2025-03-12,5000000.0,15.424948670398354
157672,2024,15.424948670398354,2025-05-25,2024-12-16,7000000.0,15.76142084987672
163744,2024,14.220976332738882,2025-05-25,2024-12-16,2000000.0,14.508658238524095
170527,2024,15.76142084987672,2025-05-25,2025-03-18,10000000.0,16.118095750958314
170934,2024,15.830413711839864,2025-05-25,2025-03-20,7500000.0,15.830413711839864
171679,2024,14.508658238524095,2025-05-25,2024-12-16,2500000.0,14.731801689838349
173504,2024,16.012735246411598,2025-05-25,2024-12-16,10000000.0,16.118095750958314
177476,2024,17.034386422832473,2025-05-25,2025-03-18,32000000.0,17.281246492014
177907,2024,16.380459992348886,2025-05-25,2024-12-16,15000000.0,16.52356082573315
181579,2024,15.894952224644102,2025-05-25,2025-03-18,10000000.0,16.118095750958314
181687,2024,12.899222326086994,2025-05-25,2024-12-16,500000.0,13.122365377402328
181778,2024,16.118095750958314,2025-05-25,2024-12-16,12000000.0,16.300417291085605
183288,2024,16.300417291085605,2025-05-25,2025-03-18,16000000.0,16.588099342704055
184528,2024,14.508658238524095,2025-05-25,2024-12-16,2500000.0,14.731801689838349
184573,2024,15.894952224644102,2025-05-25,2024-12-16,10000000.0,16.118095750958314
186186,2024,14.731801689838347,2025-05-25,2025-03-18,4000000.0,15.201805169084134
186590,2024,17.034386422832473,2025-05-25,2025-03-18,30000000.0,17.216707972959764
188077,2024,16.118095750958314,2025-05-25,2024-12-16,12000000.0,16.300417291085605
192080,2024,15.894952224644102,2025-05-25,2025-03-18,10000000.0,16.118095750958314
192279,2024,16.118095750958314,2025-05-25,2024-12-16,11000000.0,16.213405921671733
192765,2024,15.607270193858982,2025-05-25,2024-12-16,8000000.0,15.894952224644102
193098,2024,15.76142084987672,2025-05-25,2024-12-16,11000000.0,16.213405921671733
193116,2024,16.588099342704055,2025-05-25,2025-03-18,18000000.0,16.705882371415992
195633,2024,14.603968372873895,2025-05-25,2024-12-16,2800000.0,14.845130332288226
197838,2024,13.815511557963774,2025-05-25,2024-12-16,1000000.0,13.815511557963774
198516,2024,14.914123179965662,2025-05-25,2025-03-18,4000000.0,15.201805169084134
199527,2024,16.588099342704055,2025-05-25,2025-03-18,16000000.0,16.588099342704055
203026,2024,13.997832948091215,2025-05-25,2024-12-16,1500000.0,14.220976332738882
203394,2024,16.705882371415992,2025-05-25,2024-12-16,20000000.0,16.811242881518265
203460,2024,17.147715103853763,2025-05-25,2025-03-18,35000000.0,17.370858648025116
203853,2024,16.811242881518265,2025-05-25,2025-03-18,22000000.0,16.906553056777135
204103,2024,16.012735246411598,2025-05-25,2024-12-16,10000000.0,16.118095750958314
206040,2024,15.424948670398354,2025-05-25,2024-12-16,5000000.0,15.424948670398354
206746,2024,16.380459992348886,2025-05-25,2024-12-16,15000000.0,16.52356082573315
207014,2024,15.76142084987672,2025-05-25,2024-12-16,9000000.0,16.012735246411598
209212,2024,15.607270193858982,2025-05-25,2025-03-18,8000000.0,15.894952224644102
212847,2024,16.213405921671733,2025-05-25,2024-12-16,12000000.0,16.300417291085605
215810,2024,12.206077645517674,2025-05-25,2024-12-16,200000.0,12.206077645517674
215876,2024,15.319588176962746,2025-05-25,2025-03-18,5000000.0,15.424948670398354
225122,2024,16.213405921671733,2025-05-25,2025-03-18,13000000.0,16.380459992348886
226973,2024,15.607270193858982,2025-05-25,2025-03-18,7000000.0,15.76142084987672
230784,2024,16.454567959008102,2025-05-25,2024-12-16,15000000.0,16.52356082573315
231572,2024,16.012735246411598,2025-05-25,2024-12-16,10000000.0,16.118095750958314
234509,2024,17.034386422832473,2025-05-25,2025-03-18,32000000.0,17.281246492014
234781,2024,15.894952224644102,2025-05-25,2024-12-16,8000000.0,15.894952224644102
234803,2024,16.705882371415992,2025-05-25,2025-03-18,20000000.0,16.811242881518265
236490,2024,16.906553056777135,2025-05-25,2025-03-18,20000000.0,16.811242881518265
238223,2024,16.811242881518265,2025-05-25,2025-03-18,25000000.0,17.034386422832473
240306,2024,17.72753358339242,2025-05-25,2024-12-16,55000000.0,17.822843761378564
241641,2024,17.453096744006448,2025-05-25,2025-03-18,45000000.0,17.622173069956816
242631,2024,17.147715103853763,2025-05-25,2024-12-16,25000000.0,17.034386422832473
243028,2024,16.012735246411598,2025-05-25,2024-12-16,11000000.0,16.213405921671733
245056,2024,16.454567959008102,2025-05-25,2024-12-16,10000000.0,16.118095750958314
249089,2024,16.52356082573315,2025-05-25,2025-03-18,15000000.0,16.52356082573315
249126,2024,16.012735246411598,2025-05-25,2025-03-18,10000000.0,16.118095750958314
249565,2024,17.453096744006448,2025-05-25,2025-03-18,35000000.0,17.370858648025116
249994,2024,15.76142084987672,2025-05-25,2024-12-16,8000000.0,15.894952224644102
250426,2024,16.300417291085605,2025-05-25,2025-03-28,14000000.0,16.454567959008102
250478,2024,15.424948670398354,2025-05-25,2024-12-16,8000000.0,15.894952224644102
251106,2024,16.118095750958314,2025-05-25,2024-12-16,13000000.0,16.380459992348886
253677,2024,15.424948670398354,2025-05-25,2025-03-18,6000000.0,15.607270193858982
255788,2024,14.508658238524095,2025-05-25,2024-12-16,2500000.0,14.731801689838349
256178,2024,16.811242881518265,2025-05-25,2025-03-18,25000000.0,17.034386422832473
256977,2024,15.520258832020865,2025-05-25,2024-12-13,7000000.0,15.76142084987672
258004,2024,17.989897843244528,2025-05-25,2025-03-18,70000000.0,18.064005814299346
258878,2024,16.811242881518265,2025-05-25,2024-12-16,20000000.0,16.811242881518265
258889,2024,17.50439003707821,2025-05-25,2024-12-16,45000000.0,17.622173069956816
258919,2024,16.811242881518265,2025-05-25,2024-12-16,15000000.0,16.52356082573315
258923,2024,17.72753358339242,2025-05-25,2025-03-18,50000000.0,17.72753358339242
260827,2024,17.11134746100564,2025-05-25,2024-12-16,32000000.0,17.281246492014
262226,2024,16.380459992348886,2025-05-25,2024-12-16,15000000.0,16.52356082573315
262300,2024,14.914123179965662,2025-05-25,2024-12-16,3500000.0,15.068273812173887
262749,2024,17.50439003707821,2025-05-25,2024-12-16,40000000.0,17.50439003707821
262980,2024,16.118095750958314,2025-05-25,2025-03-18,12000000.0,16.300417291085605
263236,2024,17.034386422832473,2025-05-25,2024-12-10,25000000.0,17.034386422832473
270171,2024,16.811242881518265,2025-05-25,2024-12-16,22000000.0,16.906553056777135
272622,2024,16.454567959008102,2025-05-25,2025-03-18,16000000.0,16.588099342704055
272855,2024,15.607270193858982,2025-05-25,2025-03-18,8000000.0,15.894952224644102
272999,2024,16.118095750958314,2025-05-25,2025-04-17,12000000.0,16.300417291085605
274839,2024,16.52356082573315,2025-05-25,2024-12-16,18000000.0,16.705882371415992
277033,2024,16.118095750958314,2025-05-25,2025-03-18,12000000.0,16.300417291085605
279455,2024,16.52356082573315,2025-05-25,2024-12-16,17000000.0,16.648723960844016
282429,2024,15.607270193858982,2025-05-25,2025-03-18,8000000.0,15.894952224644102
283628,2024,16.705882371415992,2025-05-25,2025-03-18,22000000.0,16.906553056777135
284730,2024,17.147715103853763,2025-05-25,2025-03-18,32000000.0,17.281246492014
284857,2024,17.370858648025116,2025-05-25,2024-12-16,30000000.0,17.216707972959764
286047,2024,17.281246492014,2025-05-25,2024-12-16,35000000.0,17.370858648025116
288323,2024,13.592368256649284,2025-05-25,2024-12-30,800000.0,13.592368256649284
289592,2024,16.705882371415992,2025-05-25,2024-12-16,20000000.0,16.811242881518265
292139,2024,16.118095750958314,2025-05-25,2024-12-16,12000000.0,16.300417291085605
292246,2024,16.300417291085605,2025-05-25,2025-03-18,17000000.0,16.648723960844016
292808,2024,16.52356082573315,2025-05-25,2024-12-16,20000000.0,16.811242881518265
294057,2024,17.553180200057167,2025-05-25,2025-03-18,50000000.0,17.72753358339242
295313,2024,16.588099342704055,2025-05-25,2025-03-18,18000000.0,16.705882371415992
296622,2024,16.811242881518265,2025-05-25,2024-12-10,20000000.0,16.811242881518265
300716,2024,16.012735246411598,2025-05-25,2024-12-16,10000000.0,16.118095750958314
306024,2024,16.588099342704055,2025-05-25,2025-03-18,20000000.0,16.811242881518265
309400,2024,17.989897843244528,2025-05-25,2025-03-18,70000000.0,18.064005814299346
314353,2024,18.13299868483392,2025-05-25,2024-12-16,75000000.0,18.132998684833918
314875,2024,17.50439003707821,2025-05-25,2024-12-16,45000000.0,17.622173069956816
315969,2024,17.72753358339242,2025-05-25,2024-12-18,40000000.0,17.50439003707821
316125,2024,16.52356082573315,2025-05-25,2025-03-18,18000000.0,16.705882371415992
316264,2024,18.258161826219297,2025-05-25,2025-03-18,100000000.0,18.420680753952364
319859,2024,16.454567959008102,2025-05-25,2025-03-18,16000000.0,16.588099342704055
320411,2024,16.118095750958314,2025-05-25,2025-03-25,12000000.0,16.300417291085605
321247,2024,16.52356082573315,2025-05-25,2024-12-16,18000000.0,16.705882371415992
324223,2024,14.731801689838347,2025-05-25,2024-12-16,2500000.0,14.731801689838349
324358,2024,17.50439003707821,2025-05-25,2025-03-18,50000000.0,17.72753358339242
326029,2024,17.034386422832473,2025-05-25,2025-03-18,25000000.0,17.034386422832473
326031,2024,17.453096744006448,2025-05-25,2025-03-18,40000000.0,17.50439003707821
328658,2024,16.705882371415992,2025-05-25,2024-12-16,18000000.0,16.705882371415992
329145,2024,16.066802461833923,2025-05-25,2025-03-20,11000000.0,16.213405921671733
330659,2024,17.370858648025116,2025-05-25,2025-03-18,35000000.0,17.370858648025116
331560,2024,16.705882371415992,2025-05-25,2025-03-18,25000000.0,17.034386422832473
332705,2024,16.705882371415992,2025-05-25,2025-03-18,18000000.0,16.705882371415992
