player_id,season,season_end,valuation_date,target_log_market_value,target_market_value_in_eur,position,sub_position,age_at_valuation,age_squared,minutes_played,goals,assists,yellow_cards,red_cards,appearances,available_minutes,minutes_share,two_year_minutes,goals_per90_last_two,assists_per90_last_two,yellow_cards_per90_last_two,red_cards_per90_last_two,previous_season_points,finishing_position,clubs_in_standings,champions_league_played
3461,2012,2013-05-19,2013-07-02,14.731801689838347,2500000,Midfield,Central Midfield,30.368240930869266,922.2300572353234,825.0,2.0,0.0,1.0,0.0,13,6840,0.1206140350877193,825.0,0.21818181818181817,0.0,0.10909090909090909,0.0,,,,0
3467,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Attack,Right Winger,31.685147159479808,1003.9485505178914,1249.0,1.0,1.0,0.0,0.0,20,3420,0.3652046783625731,1249.0,0.07205764611689351,0.07205764611689351,0.0,0.0,,,,0
3476,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Goalkeeper,Goalkeeper,42.12457221081451,1774.4795839441263,990.0,0.0,0.0,0.0,0.0,11,3420,0.2894736842105263,990.0,0.0,0.0,0.0,0.0,,,,0
3540,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Defender,Centre-Back,32.172484599589325,1035.0687653108123,2993.0,2.0,3.0,3.0,0.0,34,3420,0.8751461988304093,2993.0,0.06014032743067157,0.09021049114600735,0.09021049114600735,0.0,,,,0
3547,2012,2013-05-19,2013-07-02,15.424948670398354,5000000,Midfield,Central Midfield,29.415468856947296,865.2698080740363,181.0,1.0,0.0,0.0,0.0,3,3420,0.05292397660818714,181.0,0.4972375690607735,0.0,0.0,0.0,,,,1
3548,2012,2013-05-19,2013-07-02,14.914123179965662,3000000,Defender,Left-Back,28.695414099931554,823.4267903665507,915.0,1.0,0.0,2.0,0.0,15,6840,0.1337719298245614,915.0,0.09836065573770492,0.0,0.19672131147540983,0.0,,,,0
3560,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Attack,Left Winger,30.27789185489391,916.7507351766509,404.0,0.0,0.0,0.0,0.0,10,3420,0.11812865497076024,404.0,0.0,0.0,0.0,0.0,,,,0
3562,2012,2013-05-19,2013-07-02,12.429220196836384,250000,Goalkeeper,Goalkeeper,38.3025325119781,1467.0839968311393,458.0,0.0,0.0,0.0,0.0,6,3420,0.13391812865497077,458.0,0.0,0.0,0.0,0.0,,,,0
3580,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Defender,Centre-Back,33.648186173853524,1132.2004327903076,2115.0,0.0,0.0,1.0,0.0,24,3420,0.618421052631579,2115.0,0.0,0.0,0.0425531914893617,0.0,,,,0
3614,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Defender,Right-Back,32.36139630390144,1047.2599707381655,431.0,0.0,0.0,1.0,0.0,6,3420,0.1260233918128655,431.0,0.0,0.0,0.2088167053364269,0.0,,,,0
3620,2012,2013-05-19,2013-07-02,15.201805169084134,4000000,Midfield,Central Midfield,32.12594113620808,1032.0760938871063,3182.0,5.0,2.0,8.0,0.0,36,3420,0.9304093567251462,3182.0,0.14142049025769957,0.056568196103079824,0.2262727844123193,0.0,,,,0
3634,2012,2013-05-19,2013-07-02,12.429220196836384,250000,Defender,Left-Back,35.83572895277207,1284.1994695765466,1360.0,0.0,4.0,1.0,0.0,16,3420,0.39766081871345027,1360.0,0.0,0.2647058823529412,0.0661764705882353,0.0,,,,0
3666,2012,2013-05-19,2013-07-02,12.429220196836384,250000,Attack,Centre-Forward,35.43326488706366,1255.5162605568182,708.0,0.0,1.0,2.0,0.0,11,3420,0.20701754385964913,708.0,0.0,0.1271186440677966,0.2542372881355932,0.0,,,,0
3692,2012,2013-05-19,2013-07-02,13.815511557963774,1000000,Goalkeeper,Goalkeeper,38.20396988364134,1459.5433148701748,3420.0,0.0,0.0,2.0,0.0,38,3420,1.0,3420.0,0.0,0.0,0.05263157894736842,0.0,,,,0
3698,2012,2013-05-19,2013-06-14,14.508658238524095,2000000,Defender,Centre-Back,28.317590691307323,801.8859425604152,914.0,0.0,0.0,2.0,0.0,13,3420,0.2672514619883041,914.0,0.0,0.0,0.19693654266958424,0.0,,,,0
3775,2012,2013-05-19,2013-07-02,14.220976332738882,1500000,Defender,Left-Back,32.17522245037645,1035.244939731209,879.0,0.0,2.0,2.0,0.0,12,3420,0.25701754385964914,879.0,0.0,0.20477815699658702,0.20477815699658702,0.0,,,,0
3785,2012,2013-05-19,2013-07-02,15.607270193858982,6000000,Midfield,Central Midfield,32.71731690622861,1070.4228255425924,1366.0,0.0,3.0,1.0,0.0,21,3420,0.39941520467836256,1366.0,0.0,0.19765739385065886,0.06588579795021962,0.0,,,,0
3788,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Midfield,Left Midfield,31.88227241615332,1016.4792944178108,1726.0,0.0,0.0,2.0,0.0,31,3420,0.5046783625730994,1726.0,0.0,0.0,0.10428736964078796,0.0,,,,0
3791,2012,2013-05-19,2013-07-02,14.508658238524095,2000000,Defender,Centre-Back,31.222450376454482,974.8414075101626,2085.0,1.0,1.0,8.0,0.0,25,3420,0.6096491228070176,2085.0,0.04316546762589928,0.04316546762589928,0.34532374100719426,0.0,,,,0
